Project ,Method,Model,Approach,Original Violations,Resolved Violations,Unresolved Violations,Introduced Issues,Split Count,Cyclomatic (Before),Cognitive (Before),NPath (Before),LOC (Before),Cyclomatic Max (After),Cognitive  Max (After),NPath Max  (After),LOC Max (After) ,Cyclomatic Avg (After),Cognitive  Avg (After),NPath Avg  (After),LOC Avg  (After) ,Average reduction ,Reduction Effectiveness,Tests Total,Passed,Failed,Effectiveness level,Notes,Column 1,
strimzi/strimzi-kafka-operator,KafkaBridgeConfigurationBuilder withAuthentication(KafkaClientAuthentication authentication), Llama 4 Maverick,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode",,Yes,9,18,55,397,72,9,8,192,30,2.89,4.75,23.78,10.78,61.36%,Moderate,2,,,Ineffective(Error or Untestable),Missing return statement; adding it fixed the issues and all tests passed,,
strimzi/strimzi-kafka-operator,"Map<String, String> getOAuthOptions(KafkaListenerAuthenticationOAuth oauth)", Gemini 2.0 Flash,HYBRID,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, NPathComplexity",ExcessiveLinesOfCode,No,9,16,15,4374,57,3,2,4,32,1.67,1.5,1.78,7.33,77.92%,Moderate,2,0,2,Ineffective(Test Fails),Excessive parapmeter count,,
strimzi/strimzi-kafka-operator,"Map<String, String> getOAuthOptions(KafkaListenerAuthenticationOAuth oauth)", Gemini 2.0 Flash,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode",,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode",Yes,2,16,15,4374,57,16,15,4374,57,,,,,0.00%,None,2,,,Ineffective(Error or Untestable),Syntax error: unnecessary escape character in string literal.,,
strimzi/strimzi-kafka-operator,"Map<String, String> getOAuthOptions(KafkaListenerAuthenticationOAuth oauth)", R1 Distill Qwen 32B,HYBRID,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",ExcessiveLinesOfCode,No,9,16,15,4374,57,3,2,3,32,1.67,1.5,1.67,7.67,77.93%,Moderate,2,0,2,Ineffective(Test Fails),,,
strimzi/strimzi-kafka-operator,"Map<String, String> getOAuthOptions(KafkaListenerAuthenticationOAuth oauth)", R1 Distill Qwen 32B,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode",,ExcessiveLinesOfCode,Yes,4,16,15,4374,57,3,8,3,67,2.25,3,2.25,20.5,52.58%,Moderate,2,1,1,Ineffective(Test Fails),Excessive parapmeter count,,
strimzi/strimzi-kafka-operator,"Map<String, String> getOAuthOptions(KafkaListenerAuthenticationOAuth oauth)", Llama 4 Maverick,HYBRID,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode",,No,8,16,15,4374,57,9,8,81,14,2.88,5,14.38,9.13,66.00%,Moderate,2,0,2,Ineffective(Test Fails),,,
strimzi/strimzi-kafka-operator,"Map<String, String> getOAuthOptions(KafkaListenerAuthenticationOAuth oauth)", Llama 4 Maverick,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode",,No,8,16,15,4374,57,9,8,81,17,2.88,5,14.38,9.13,64.69%,Moderate,2,0,2,Ineffective(Test Fails),,,
strimzi/strimzi-kafka-operator,"KafkaBrokerConfigurationBuilder withUserConfiguration(KafkaConfiguration userConfig, boolean injectCcMetricsReporter)", Gemini 2.0 Flash,HYBRID,"CognitiveComplexity, ExcessiveLinesOfCode","ExcessiveLinesOfCode, CognitiveComplexity",,No,4,15,,,36,5,,,15,3.25,,,9.25,62.50%,Moderate,7,5,2,Ineffective(Test Fails),duplicated code in conditional blocks,,
strimzi/strimzi-kafka-operator,"KafkaBrokerConfigurationBuilder withUserConfiguration(KafkaConfiguration userConfig, boolean injectCcMetricsReporter)", Gemini 2.0 Flash,LLM_ONLY,"CognitiveComplexity, ExcessiveLinesOfCode","CognitiveComplexity, ExcessiveLinesOfCode",,No,3,15,,,36,5,,,16,3.67,,,11,61.11%,Moderate,7,7,0,Moderate,"Eliminated redundant condition checks
Single responsibility principle",,
strimzi/strimzi-kafka-operator,"KafkaBrokerConfigurationBuilder withUserConfiguration(KafkaConfiguration userConfig, boolean injectCcMetricsReporter)", R1 Distill Qwen 32B,HYBRID,"CognitiveComplexity, ExcessiveLinesOfCode","CognitiveComplexity, ExcessiveLinesOfCode",,No,4,15,,,36,4,,,19,3,,,10.25,60.28%,Moderate,7,7,0,Moderate,"Single responsibility principle
Code refactoring extraction
reduced duplication",,
strimzi/strimzi-kafka-operator,"KafkaBrokerConfigurationBuilder withUserConfiguration(KafkaConfiguration userConfig, boolean injectCcMetricsReporter)", R1 Distill Qwen 32B,LLM_ONLY,"CognitiveComplexity, ExcessiveLinesOfCode","CognitiveComplexity, ExcessiveLinesOfCode",,No,2,15,,,36,4,,,18,4,,,15,61.67%,Moderate,7,7,0,Moderate,Mixed responsibilities,,
strimzi/strimzi-kafka-operator,"KafkaBrokerConfigurationBuilder withUserConfiguration(KafkaConfiguration userConfig, boolean injectCcMetricsReporter)", Llama 4 Maverick,HYBRID,"CognitiveComplexity, ExcessiveLinesOfCode","CognitiveComplexity, ExcessiveLinesOfCode",,Yes,4,15,,,36,4,,,12,3,,,8.75,70.00%,Moderate,7,,,Ineffective(Error or Untestable),"Required constructor argument was missing, adding it resolved the issues, but 2 tests failed",,
strimzi/strimzi-kafka-operator,"KafkaBrokerConfigurationBuilder withUserConfiguration(KafkaConfiguration userConfig, boolean injectCcMetricsReporter)", Llama 4 Maverick,LLM_ONLY,"CognitiveComplexity, ExcessiveLinesOfCode","CognitiveComplexity, ExcessiveLinesOfCode",,No,4,15,,,36,4,,,13,2.75,,,8.25,68.61%,Moderate,7,5,2,Ineffective(Test Fails),,,
strimzi/strimzi-kafka-operator,"public static Pod createPod(
            String name,
            String namespace,
            Labels labels,
            OwnerReference ownerReference,
            PodTemplate template,
            Map<String, String> defaultPodLabels,
            Map<String, String> podAnnotations,
            Affinity affinity,
            List<Container> initContainers,
            List<Container> containers,
            List<Volume> volumes,
            List<LocalObjectReference> defaultImagePullSecrets,
            PodSecurityContext podSecurityContext
    )", Gemini 2.0 Flash,HYBRID,"CyclomaticComplexity, NPathComplexity","CyclomaticComplexity, NPathComplexity",,Yes,2,13,,1731,,4,,5,,2.5,,3,,84.47%,High,4,,,Ineffective(Error or Untestable),"missing variable reference
Missing method parameter
Uses a method thata doesn't exist",,
strimzi/strimzi-kafka-operator,"public static Pod createPod(
            String name,
            String namespace,
            Labels labels,
            OwnerReference ownerReference,
            PodTemplate template,
            Map<String, String> defaultPodLabels,
            Map<String, String> podAnnotations,
            Affinity affinity,
            List<Container> initContainers,
            List<Container> containers,
            List<Volume> volumes,
            List<LocalObjectReference> defaultImagePullSecrets,
            PodSecurityContext podSecurityContext
    )", Gemini 2.0 Flash,LLM_ONLY,"CyclomaticComplexity, NPathComplexity","CyclomaticComplexity, NPathComplexity",,Yes,6,13,,1731,,10,,216,,3.17,,38,,55.30%,Moderate,4,,,Ineffective(Error or Untestable),"referencce error
type mismatch 
access violation ",,
strimzi/strimzi-kafka-operator,"public static Pod createPod(
            String name,
            String namespace,
            Labels labels,
            OwnerReference ownerReference,
            PodTemplate template,
            Map<String, String> defaultPodLabels,
            Map<String, String> podAnnotations,
            Affinity affinity,
            List<Container> initContainers,
            List<Container> containers,
            List<Volume> volumes,
            List<LocalObjectReference> defaultImagePullSecrets,
            PodSecurityContext podSecurityContext
    )", R1 Distill Qwen 32B,HYBRID,"CyclomaticComplexity, NPathComplexity","CyclomaticComplexity, NPathComplexity",,Yes,12,13,,1731,,3,,4,,1.67,,2.17,,88.35%,High,4,,,Ineffective(Error or Untestable),introduces issues including missing methods and incompatible return types,,
strimzi/strimzi-kafka-operator,"public static Pod createPod(
            String name,
            String namespace,
            Labels labels,
            OwnerReference ownerReference,
            PodTemplate template,
            Map<String, String> defaultPodLabels,
            Map<String, String> podAnnotations,
            Affinity affinity,
            List<Container> initContainers,
            List<Container> containers,
            List<Volume> volumes,
            List<LocalObjectReference> defaultImagePullSecrets,
            PodSecurityContext podSecurityContext
    )", R1 Distill Qwen 32B,LLM_ONLY,"CyclomaticComplexity, NPathComplexity","CyclomaticComplexity, NPathComplexity",,Yes,3,13,,1731,,13,,1731,,5,,577.67,,0.00%,None,4,,,Ineffective(Error or Untestable),introduces issues including missing methods and incompatible return types,,
strimzi/strimzi-kafka-operator,"public static Pod createPod(
            String name,
            String namespace,
            Labels labels,
            OwnerReference ownerReference,
            PodTemplate template,
            Map<String, String> defaultPodLabels,
            Map<String, String> podAnnotations,
            Affinity affinity,
            List<Container> initContainers,
            List<Container> containers,
            List<Volume> volumes,
            List<LocalObjectReference> defaultImagePullSecrets,
            PodSecurityContext podSecurityContext
    )", Llama 4 Maverick,HYBRID,"CyclomaticComplexity, NPathComplexity","CyclomaticComplexity, NPathComplexity",,Yes,12,13,,1731,,3,,4,,2,,2.75,,88.35%,High,4,,,Ineffective(Error or Untestable),Introduced issues include type mismatch and unresolved method calls due to incorrect parameter types and method signature duplication,,
strimzi/strimzi-kafka-operator,"public static Pod createPod(
            String name,
            String namespace,
            Labels labels,
            OwnerReference ownerReference,
            PodTemplate template,
            Map<String, String> defaultPodLabels,
            Map<String, String> podAnnotations,
            Affinity affinity,
            List<Container> initContainers,
            List<Container> containers,
            List<Volume> volumes,
            List<LocalObjectReference> defaultImagePullSecrets,
            PodSecurityContext podSecurityContext
    )", Llama 4 Maverick,LLM_ONLY,"CyclomaticComplexity, NPathComplexity","CyclomaticComplexity, NPathComplexity",,Yes,4,13,,1731,,4,,5,,1.75,,2,,84.47%,High,4,,,Ineffective(Error or Untestable),introduces issues including missing methods and incompatible return types,,
tablesaw,"counts(Table table, CategoricalColumn<?> column1, CategoricalColumn<?> column2)", Llama 4 Maverick,HYBRID,"CognitiveComplexity, ExcessiveLinesOfCode","CognitiveComplexity, ExcessiveLinesOfCode",,No,5,,15,,67,,12,,18,,3.8,,12.6,46.57%,Low,3,3,0,Low,"Extract method focused, straightforward.",,
tablesaw,"counts(Table table, CategoricalColumn<?> column1, CategoricalColumn<?> column2)", Llama 4 Maverick,LLM_ONLY,"CognitiveComplexity, ExcessiveLinesOfCode","CognitiveComplexity, ExcessiveLinesOfCode",,No,5,,15,,67,,12,,17,,4,,11.8,47.31%,Low,3,3,0,Low,"Extract method focused, straightforward.",,
tablesaw,"counts(Table table, CategoricalColumn<?> column1, CategoricalColumn<?> column2)", Gemini 2.0 Flash,HYBRID,"CognitiveComplexity, ExcessiveLinesOfCode","ExcessiveLinesOfCode, CognitiveComplexity",,Yes,6,,15,,67,,8,,24,,4.5,,12,55.42%,Moderate,3,,,Ineffective(Error or Untestable),Imported Set collection. Introduced type mismatch leading to compilation error. Unit tests not run.,,
tablesaw,"counts(Table table, CategoricalColumn<?> column1, CategoricalColumn<?> column2)", Gemini 2.0 Flash,LLM_ONLY,"CognitiveComplexity, ExcessiveLinesOfCode","CognitiveComplexity, ExcessiveLinesOfCode",,No,1,,15,,67,,12,,44,,12,,44,27.16%,Low,3,3,0,Low,Introduced ternary expressions for more concise code. Inlined variables for cleaner iteration.,,
tablesaw,"counts(Table table, CategoricalColumn<?> column1, CategoricalColumn<?> column2)", R1 Distill Qwen 32B,HYBRID,"CognitiveComplexity, ExcessiveLinesOfCode","ExcessiveLinesOfCode, CognitiveComplexity",,No,8,,15,,67,,6,,17,,3,,10.13,67.31%,Moderate,3,3,0,Moderate,"Extract method, SRP, duplication reduced. Ternary expression introduced to replace if-else expression.",,
tablesaw,"counts(Table table, CategoricalColumn<?> column1, CategoricalColumn<?> column2)", R1 Distill Qwen 32B,LLM_ONLY,"CognitiveComplexity, ExcessiveLinesOfCode",CognitiveComplexity,ExcessiveLinesOfCode,No,1,,15,,67,,11,,55,,11,,55,22.29%,Low,3,,,Ineffective(Error or Untestable),Rearranged existing code slightly. Hallucinated method. Unit tests not run due to compilation error.,,
tablesaw,windowGrowthType(), Llama 4 Maverick,HYBRID,CyclomaticComplexity,CyclomaticComplexity,,No,4,10,,,16,4,,,11,1.75,,,5,45.63%,Low,5,5,0,Low,"Extract method focused, straightforward.",,
tablesaw,windowGrowthType(), Llama 4 Maverick,LLM_ONLY,CyclomaticComplexity,CyclomaticComplexity,,No,6,10,,,16,5,,,11,1.66,,,3.16,40.63%,Low,5,5,0,Low,"Extract method focused, straightforward.",,
tablesaw,windowGrowthType(), Gemini 2.0 Flash,HYBRID,CyclomaticComplexity,CyclomaticComplexity,,No,4,10,,,16,4,,,10,1.75,,,4.75,48.75%,Low,5,5,0,Low,"Extract method focused, straightforward. SRP.",,
tablesaw,windowGrowthType(), Gemini 2.0 Flash,LLM_ONLY,CyclomaticComplexity,CyclomaticComplexity,,Yes,1,10,,,16,6,,,12,6,,,12,32.50%,Low,5,,,Ineffective(Error or Untestable),Introduced hallucinated method.,,
tablesaw,windowGrowthType(), R1 Distill Qwen 32B,HYBRID,CyclomaticComplexity,CyclomaticComplexity,,No,5,10,,,16,4,,,10,1.6,,,5,48.75%,Low,5,5,0,Low,"Extract method focused, straightforward. SRP.",,
tablesaw,windowGrowthType(), R1 Distill Qwen 32B,LLM_ONLY,CyclomaticComplexity,CyclomaticComplexity,,No,2,10,,,16,4.5,,,18,4.5,,,11.5,21.25%,Low,5,5,0,Low,"Extract method focused, straightforward. SRP. Introduced switch-case instead of if-else.",,
tablesaw,cast(), Llama 4 Maverick,HYBRID,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,No,8,16,23,,73,10,9,,21,2.88,2.57,,9.25,56.53%,Moderate,2,2,0,Moderate,"Extract method, introduced Streams API.",,
tablesaw,cast(), Llama 4 Maverick,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,Yes,7,16,23,,73,10,4,,31,3.14,1.67,,11.57,59.21%,Moderate,2,,,Ineffective(Error or Untestable),Introduced Java type incompatibility issue (for a switch-case construct) resulting in compilation error.  Unit tests not run due to compilation error.,,
tablesaw,cast(), Gemini 2.0 Flash,HYBRID,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,Yes,8,16,23,,73,10,9,,21,2.88,3,,9.25,56.53%,Moderate,2,0,2,Ineffective(Test Fails),The refactoring changed the order of variable columns by calling a method too early. Tests relying on column order failed.,,
tablesaw,cast(), Gemini 2.0 Flash,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,No,2,16,23,,73,10,9,,34,5.5,7,,28,50.60%,Moderate,2,2,0,Moderate,Extract method. Simplified loops. Introduced forEach instead of for loops.,,
tablesaw,cast(), R1 Distill Qwen 32B,HYBRID,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CognitiveComplexity, ExcessiveLinesOfCode, CyclomaticComplexity",,Yes,7,16,23,,73,10,9,,21,2.57,4.33,,10.14,56.53%,Moderate,2,,,Ineffective(Error or Untestable),Hallucinated an object type. Introduced type mismatch in a method's return statement.,,
tablesaw,cast(), R1 Distill Qwen 32B,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity",ExcessiveLinesOfCode,Yes,1,16,23,,73,7,12,,34,7,12,,34,52.50%,Moderate,2,,,Ineffective(Error or Untestable),Hallucinated a method call.,,
tablesaw,getQuarter(int packedDate), Llama 4 Maverick,HYBRID,CyclomaticComplexity,CyclomaticComplexity,,No,3,13,,,23,2,,,6,1.33,,,4.33,79.26%,Moderate,1,1,0,Moderate,,,
tablesaw,getQuarter(int packedDate), Llama 4 Maverick,LLM_ONLY,CyclomaticComplexity,CyclomaticComplexity,,No,2,13,,,23,2,,,7,1.5,,,5,77.09%,Moderate,1,1,0,Moderate,,,
tablesaw,getQuarter(int packedDate), Gemini 2.0 Flash,HYBRID,CyclomaticComplexity,CyclomaticComplexity,,No,2,13,,,23,10,,,18,6,,,12,22.41%,Low,1,1,0,Low,"Extract method, SRP.",,
tablesaw,getQuarter(int packedDate), Gemini 2.0 Flash,LLM_ONLY,CyclomaticComplexity,CyclomaticComplexity,,No,1,13,,,23,2,,,7,2,,,7,77.09%,Moderate,1,1,0,Moderate,Replaced long switch-case construct (for months) with simple and more concise arithmetic.,,
tablesaw,getQuarter(int packedDate), R1 Distill Qwen 32B,HYBRID,CyclomaticComplexity,CyclomaticComplexity,,No,2,13,,,23,1.5,,,7,1.5,1,,7,79.01%,Moderate,1,1,0,Moderate,Replaced switch-case with single arithmetic expression in separate method.,,
tablesaw,getQuarter(int packedDate), R1 Distill Qwen 32B,LLM_ONLY,CyclomaticComplexity,CyclomaticComplexity,,No,1,13,,,23,2,,,7,2,1,,7,77.09%,Moderate,1,1,0,Moderate,The refactoring replaced a switch statement with a concise arithmetic calculation using Month.ordinal() to determine the quarter.,,
tablesaw,toSmileType(ColumnType type), Llama 4 Maverick,HYBRID,CyclomaticComplexity,,CyclomaticComplexity,Yes,1,13,,,25,13,,,16,13,,,16,18.00%,Minimal,1,,,Ineffective(Error or Untestable),Simply turned a long if structure into switch cases. Introduced Java type incompatibility issue resulting in compilation error. Unit tests not run due to compilation error.,,
tablesaw,toSmileType(ColumnType type), Llama 4 Maverick,LLM_ONLY,CyclomaticComplexity,,CyclomaticComplexity,Yes,1,13,,,25,13,,,16,13,,,16,18.00%,Minimal,1,,,Ineffective(Error or Untestable),Simply turned a long if structure into switch cases. Introduced Java type incompatibility issue resulting in compilation error. Unit tests not run due to compilation error.,,
tablesaw,toSmileType(ColumnType type), Gemini 2.0 Flash,HYBRID,CyclomaticComplexity,,CyclomaticComplexity,Yes,1,13,,,25,13,,,16,13,,,16,18.00%,Minimal,1,,,Ineffective(Error or Untestable),Simply turned a long if structure into switch cases. Introduced Java type incompatibility issue resulting in compilation error. Unit tests not run due to compilation error.,,
tablesaw,toSmileType(ColumnType type), Gemini 2.0 Flash,LLM_ONLY,CyclomaticComplexity,,CyclomaticComplexity,Yes,1,13,,,25,13,,,16,13,,,16,18.00%,Minimal,1,,,Ineffective(Error or Untestable),Simply turned a long if structure into switch cases. Introduced Java type incompatibility issue resulting in compilation error. Unit tests not run due to compilation error.,,
tablesaw,toSmileType(ColumnType type), R1 Distill Qwen 32B,HYBRID,CyclomaticComplexity,,CyclomaticComplexity,Yes,1,13,,,25,13,,,16,13,,,16,18.00%,Minimal,1,,,Ineffective(Error or Untestable),Simply turned a long if structure into switch cases. Introduced Java type incompatibility issue resulting in compilation error. Unit tests not run due to compilation error.,,
tablesaw,toSmileType(ColumnType type), R1 Distill Qwen 32B,LLM_ONLY,CyclomaticComplexity,,CyclomaticComplexity,Yes,1,13,,,25,13,,,16,13,,,16,18.00%,Minimal,1,,,Ineffective(Error or Untestable),Simply turned a long if structure into switch cases. Introduced Java type incompatibility issue resulting in compilation error. Unit tests not run due to compilation error.,,
tablesaw,"getColumnType(int columnType, int scale, int precision)", Llama 4 Maverick,HYBRID,"CyclomaticComplexity, CognitiveComplexity","CyclomaticComplexity, CognitiveComplexity",,No,4,10,18,,39,5,5,,12,3.25,2.75,,8.5,63.82%,Moderate,2,,,Ineffective(Error or Untestable),Suggested refactoring caused overflow error. Attempted to map high precision numbers to a column type with longs. Unit tests not run due to compilation error.,,
tablesaw,"getColumnType(int columnType, int scale, int precision)", Llama 4 Maverick,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity","CyclomaticComplexity, CognitiveComplexity",,No,5,10,18,,39,4,3,,10,2.4,1.8,,7,72.56%,Moderate,2,,,Ineffective(Error or Untestable),Suggested refactoring caused overflow error. Attempted to map high precision numbers to a column type with longs. Unit tests not run due to compilation error.,,
tablesaw,"getColumnType(int columnType, int scale, int precision)", Gemini 2.0 Flash,HYBRID,"CyclomaticComplexity, CognitiveComplexity","CyclomaticComplexity, CognitiveComplexity",,No,3,10,18,,39,5,5,,12,4,4,,10.67,63.82%,Moderate,2,0,2,Ineffective(Test Fails),The tests fail because the refactored code treats some numbers as text (STRING) when it shouldn't.,,
tablesaw,"getColumnType(int columnType, int scale, int precision)", Gemini 2.0 Flash,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity",CyclomaticComplexity,,No,1,10,18,,39,10,18,,24,10,18,,24,12.82%,Minimal,2,2,0,Minimal,Did not alter default type.,,
tablesaw,"getColumnType(int columnType, int scale, int precision)", R1 Distill Qwen 32B,HYBRID,"CyclomaticComplexity, CognitiveComplexity","CyclomaticComplexity, CognitiveComplexity",,No,4,10,18,,39,4,3,,10,2.75,2.25,,7.75,72.56%,Moderate,2,0,2,Ineffective(Test Fails),"Extract method, SRP",,
tablesaw,"getColumnType(int columnType, int scale, int precision)", R1 Distill Qwen 32B,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity","CyclomaticComplexity, CognitiveComplexity",,No,4,10,18,,39,4,3,,10,3,2.25,,8,72.56%,Moderate,2,0,2,Ineffective(Test Fails),"Extract method, SRP, missing edge case handling, default type change",,
tablesaw,getDataTokens(Relation frame), Llama 4 Maverick,HYBRID,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,No,7,11,24,,36,3,3,,14,2.43,2.33,,8,73.78%,Moderate,7,7,0,Moderate,"Extract method focused, standard Java.",,
tablesaw,getDataTokens(Relation frame), Llama 4 Maverick,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,No,5,11,24,,36,6,7,,19,3.2,3.4,,10,54.50%,Moderate,7,7,0,Moderate,"Extract method focused, standard Java.",,
tablesaw,getDataTokens(Relation frame), Gemini 2.0 Flash,HYBRID,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,No,6,11,24,,36,4,6,,11,2.67,3,,8.83,69.36%,Moderate,7,7,0,Moderate,"Extract method, SRP, standard Java.",,
tablesaw,getDataTokens(Relation frame), Gemini 2.0 Flash,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",CyclomaticComplexity,,No,1,11,24,,36,9,19,,32,9,19,,32,16.71%,Minimal,7,7,0,Minimal,"Unified looping logic, reduced code duplication.",,
tablesaw,getDataTokens(Relation frame), R1 Distill Qwen 32B,HYBRID,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,No,6,11,24,,36,3,3,,21,2.67,2.33,,9,67.30%,Moderate,7,6,1,Ineffective(Test Fails),"Extract method, SRP, calculation error.",,
tablesaw,getDataTokens(Relation frame), R1 Distill Qwen 32B,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,No,6,11,24,,36,4,6,,15,4,6,,9.67,65.66%,Moderate,7,7,0,Moderate,"Extract method, SRP",,
tablesaw,"detectColumnTypes(Iterator<String[]> rows, ReadOptions options)", Llama 4 Maverick,HYBRID,"CyclomaticComplexity, ExcessiveLinesOfCode, CognitiveComplexity","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,No,7,10,18,,60,4,5,,17,2.8,2,,9.4,67.96%,Moderate,2,2,0,Moderate,,,
tablesaw,"detectColumnTypes(Iterator<String[]> rows, ReadOptions options)", Llama 4 Maverick,LLM_ONLY,"CyclomaticComplexity, ExcessiveLinesOfCode, CognitiveComplexity","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,No,4,10,18,,60,5,6,,22,3.25,2.5,,10.25,60.00%,Moderate,2,2,0,Moderate,,,
tablesaw,"detectColumnTypes(Iterator<String[]> rows, ReadOptions options)", Gemini 2.0 Flash,HYBRID,"CyclomaticComplexity, ExcessiveLinesOfCode, CognitiveComplexity","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,Yes,18,10,18,,60,6,7,,24,2,2.2,,6.67,53.70%,Moderate,2,,,Ineffective(Error or Untestable),Hallucinated methods/variables. Unit tests not run due to compilation error.,,
tablesaw,"detectColumnTypes(Iterator<String[]> rows, ReadOptions options)", Gemini 2.0 Flash,LLM_ONLY,"CyclomaticComplexity, ExcessiveLinesOfCode, CognitiveComplexity","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,No,2,10,18,,60,9,16,,28,5.5,8.5,,19,24.81%,Low,2,2,0,Low,,,
tablesaw,"detectColumnTypes(Iterator<String[]> rows, ReadOptions options)", R1 Distill Qwen 32B,HYBRID,"CyclomaticComplexity, ExcessiveLinesOfCode, CognitiveComplexity","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,No,5,10,18,,60,7,10,,23,2.8,3.25,,10.6,45.37%,Low,2,2,0,Low,"Extract method, separation of concerns, standard Java.",,
tablesaw,"detectColumnTypes(Iterator<String[]> rows, ReadOptions options)", R1 Distill Qwen 32B,LLM_ONLY,"CyclomaticComplexity, ExcessiveLinesOfCode, CognitiveComplexity","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,Yes,1,10,18,,60,8,10,,27,8,10,,27,39.81%,Low,2,,,Ineffective(Error or Untestable),Hallucinated variable. Unit tests not run due to compilation error.,,
tablesaw,splitOn(String... splitColumnNames), Llama 4 Maverick,HYBRID,"CognitiveComplexity, ExcessiveLinesOfCode","CognitiveComplexity, ExcessiveLinesOfCode",,No,6,,21,,56,,3,,17,,1.5,,9.67,77.68%,Moderate,10,10,0,Moderate,"Extract method (rather than multiple if statements), removed duplicated code, ",,
tablesaw,splitOn(String... splitColumnNames), Llama 4 Maverick,LLM_ONLY,"CognitiveComplexity, ExcessiveLinesOfCode","CognitiveComplexity, ExcessiveLinesOfCode",,No,4,,21,,56,,6,,17,,2.75,,13,70.54%,Moderate,10,10,0,Moderate,"Extract method (rather than multiple if statements), removed duplicated code, ",,
tablesaw,splitOn(String... splitColumnNames), Gemini 2.0 Flash,HYBRID,"CognitiveComplexity, ExcessiveLinesOfCode","CognitiveComplexity, ExcessiveLinesOfCode",,No,4,,21,,56,,3,,16,,3,,16,78.57%,Moderate,10,9,1,Ineffective(Test Fails),"Removed duplication, extract method. Failed test due to incorrect assumptions about table content.",,
tablesaw,splitOn(String... splitColumnNames), Gemini 2.0 Flash,LLM_ONLY,"CognitiveComplexity, ExcessiveLinesOfCode","CognitiveComplexity, ExcessiveLinesOfCode",,No,3,,21,,56,,6,,21,,3.67,,21,66.96%,Moderate,10,10,0,Moderate,"Extract method, separation of concern, reduced code duplication.",,
